record_number,justified_permit,county_name,well_elevation,total_depth,latitude83,longitude83,original_result,deepest_pay,date_completed
144107,110377,Lawrence    ,659,2271,38.11017,-82.673219,OIL,0,21-Oct-13
28539,54567,Lawrence    ,698,1977,38.226496,-82.713081,O&G,339BREA                            ,17-Mar-83
51402,29974,Lawrence    ,852,1936,38.111669,-82.661628,OIL,339BREA                            ,4-Jan-76
86578,20490,Lawrence    ,839,1902,38.131274,-82.655388,OIL,339BREA                            ,6-Apr-68
48777,66567,Lawrence    ,829,1899,38.166943,-82.661706,OIL,339BREA                            ,10-May-85
86450,2360,Lawrence    ,803,1894,38.129507,-82.658656,OIL,339BREA                            ,9-Apr-61
28540,53393,Lawrence    ,803,1890,38.172435,-82.6582,OIL,339BREA                            ,6-Dec-83
86449,4165,Lawrence    ,804,1890,38.131274,-82.659715,OIL,339BREA                            ,16-Sep-61
34445,58699,Lawrence    ,761,1889,38.171364,-82.663939,OIL,339BREA                            ,15-Feb-84
86581,21187,Lawrence    ,840,1871,38.130862,-82.665276,OIL,339BREA                            ,28-Aug-68
11643,52528,Lawrence    ,760,1868,38.078479,-82.6596,GAS,339BREA                            ,30-Oct-82
86462,1887,Lawrence    ,810,1867,38.126194,-82.659019,OIL,339BREA                            ,31-May-61
51396,,Lawrence    ,740,1865,38.118589,-82.638634,OIL,339BREA                            ,14-Feb-21
86460,2175EF ,Lawrence    ,794,1865,38.127155,-82.6573,OIL,339BREA                            ,19-Aug-54
143373,109710,Lawrence    ,810,1862,38.065443,-82.639797,OIL,0,18-Apr-13
86613,7166,Lawrence    ,765,1851,38.13045,-82.659541,OIL,339BREA                            ,4-Sep-62
86591,11227,Lawrence    ,762,1843,38.127979,-82.658846,OIL,339BREA                            ,17-Mar-64
28544,55431,Lawrence    ,696,1838,38.221225,-82.744048,OIL,339BREA                            ,18-May-83
86284,863,Lawrence    ,858,1835,38.152609,-82.670144,OIL,339BREA                            ,23-Jun-60
86447,19695,Lawrence    ,790,1834,38.130674,-82.663418,OIL,339BREA                            ,4-Oct-67
86285,862,Lawrence    ,755,1830,38.153433,-82.671883,OIL,339BREA                            ,4-Aug-60
85487,,Lawrence    ,630,1818,38.099882,-82.603317,OIL,339BREA                            ,2-Feb-50
86286,861,Lawrence    ,720,1818,38.154394,-82.673448,OIL,339BREA                            ,9-Sep-60
85492,3797,Lawrence    ,573,1815,38.098303,-82.600572,OIL,339BREA                            ,28-Aug-61
51397,,Lawrence    ,600,1814,38.148851,-82.639123,OIL,339BREA                            ,14-Apr-20
57890,7067,Lawrence    ,762,1808,38.12355,-82.665851,OIL,339BREA                            ,31-Aug-62
143121,109494,Lawrence    ,800,1807,38.064059,-82.651362,O&G,341BREA                            ,5-Sep-12
86283,864,Lawrence    ,740,1796,38.152626,-82.66733,OIL,339BREA                            ,15-Jul-60
86272,860,Lawrence    ,590,1788,38.153793,-82.675564,OIL,339BREA                            ,15-Sep-60
143735,110008,Lawrence    ,826,1779,38.049647,-82.630379,OIL,0,6-May-13
143374,109711,Lawrence    ,807,1769,38.065416,-82.639859,OIL,0,12-Apr-13
86229,,Lawrence    ,590,1758,38.146517,-82.688602,GAS,339BREA                            ,19-Nov-19
86267,2415,Lawrence    ,690,1743,38.169224,-82.67991,OIL,339BREA                            ,
143936,110246,Lawrence    ,776,1742,38.068873,-82.673643,OIL,0,29-Jun-13
85471,,Lawrence    ,600,1724,38.07436,-82.60665,OIL,339BREA                            ,
50824,,Lawrence    ,720,1719,38.076145,-82.681042,OIL,339BREA                            ,19-May-19
2046593,,Lawrence    ,737,1714,38.068864,-82.687432,OIL,0,5-Apr-12
42504,63867,Lawrence    ,850,1712,38.159393,-82.758204,OIL,339BREA                            ,19-Nov-84
108996,N10496 ,Lawrence    ,700,1708,38.153776,-82.649235,OIL,300PLZC                            ,
51395,,Lawrence    ,680,1704,38.11804,-82.642545,OIL,339BREA                            ,
2046578,N19693 ,Lawrence    ,643,1704,38.067579,-82.635296,OIL,0,
86510,1253,Lawrence    ,638,1703,38.156676,-82.674719,OIL,339BREA                            ,26-Nov-60
86511,1254,Lawrence    ,612,1695,38.158429,-82.674491,OIL,339BREA                            ,26-Oct-60
111586,86564,Lawrence    ,811,1692,37.913921,-82.648787,GAS,0,30-Jun-95
28538,53394,Lawrence    ,635,1692,38.171364,-82.682066,OIL,339BREA                            ,30-Mar-83
85470,,Lawrence    ,575,1692,38.074752,-82.608337,OIL,339BREA                            ,
51904,3460,Lawrence    ,712,1656,38.066728,-82.704655,OIL,339BREA                            ,12-Sep-61
134692,102779,Lawrence    ,754,1653,38.17003,-82.78785,O&G,341OHIO                            ,4-Sep-09
144150,110445,Lawrence    ,659,1649,38.110307,-82.673136,OIL,0,16-Oct-13
43771,58765,Lawrence    ,617,1649,38.153846,-82.682345,OIL,339BREA                            ,15-Mar-84
102428,80846,Lawrence    ,866,1641,38.008931,-82.65439,GAS,339BREA                            ,20-Jul-90
11655,46535,Lawrence    ,615,1636,38.16436,-82.686959,OIL,339BREA                            ,6-Feb-82
102939,81283,Lawrence    ,814,1635,38.014535,-82.649046,GAS,339BREA                            ,29-Jan-91
11656,41481,Lawrence    ,607,1634,38.160162,-82.683388,OIL,339BREA                            ,15-Aug-81
86269,2577,Lawrence    ,575,1627,38.1609,-82.675335,OIL,339BREA                            ,25-Apr-61
51541,3833EF ,Lawrence    ,890,1626,38.003386,-82.646407,GAS,339BREA                            ,30-May-67
50746,6513,Lawrence    ,710,1624,38.066804,-82.716146,GAS,339BREA                            ,16-Jun-62
86509,39264,Lawrence    ,574,1620,38.162685,-82.678186,OIL,339BREA                            ,17-Oct-80
86268,1319,Lawrence    ,580,1602,38.156676,-82.679737,OIL,339BREA                            ,29-Nov-60
143733,109995,Lawrence    ,586,1599,38.051473,-82.618764,OIL,0,25-Apr-13
2046601,,Lawrence    ,687,1574,38.059939,-82.689585,OIL,0,8-Nov-19
53593,67909,Lawrence    ,750,1557,38.1595,-82.772857,OIL,339BREA                            ,17-Jun-85
50823,,Lawrence    ,650,1542,38.06703,-82.675919,OIL,339BREA                            ,
2046584,,Lawrence    ,591,1536,37.940199,-82.640615,OIL,0,31-Dec-18
86224,N5097  ,Lawrence    ,585,1533,38.149262,-82.684344,GAS,339BREA                            ,13-May-20
127274,95999,Lawrence    ,888,1532,37.985588,-82.697972,GAS,339BREA                            ,25-Jul-04
62628,3649EF ,Lawrence    ,780,1524,37.946842,-82.676745,OIL,0,19-Jan-57
50822,,Lawrence    ,630,1516,38.069227,-82.681129,OIL,339BREA                            ,28-Jul-19
62619,3935EF ,Lawrence    ,700,1510,37.993088,-82.677314,GAS,339BREA                            ,12-Jul-57
