AKGWA_NUMBER,Lat83,Long83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
60000466,3848183.62,5758730.65,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,7
30010192,3960313.4,5779059,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,8
60000473,3891597.65,5725740.84,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,8.5
30000569,3886295.79,5747851.92,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,12
40004074,3981779.99,5775495.23,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,720,12
60000300,3861979.25,5813322.06,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,12.5
80008085,4048647.73,5758603.76,Greenup,4/12/1989,MONITORING WELL - AMBIENT MONITORING,628.4,13
80057101,4047179.69,5761142.79,Greenup,8/20/2009,MONITORING WELL - AMBIENT MONITORING,670,14
60000470,3890447.07,5724492.57,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,14.5
00054662,3851130.16,5806946.49,Johnson,1/1/1900,DOMESTIC - SINGLE HOUSEHOLD,617,15
80008498,4103456.71,5767718.69,Greenup,5/4/1993,MONITORING WELL - AMBIENT MONITORING,539.9,15
30000124,3819444.78,5810605.99,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,15
30000138,3823219.45,5780987.51,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,15
30005445,3898839.88,5768138.19,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,15
30005924,3920705.52,5822159.33,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,15
30001061,3828092.18,5725303.45,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,16
30001963,3829026.19,5784822.99,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,16
60000673,4077931.51,5778872.78,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,16
60000682,4067491.66,5775227.68,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,16
30006149,3914908.05,5748412.07,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,17
40007538,3819834.34,5758167.36,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,17
60000292,3889996.83,5762638.59,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,17
30009812,3884235.93,5785446.16,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,18
60000464,3887537.44,5721936.84,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,18
80057102,4047186.12,5761150.33,Greenup,8/18/2009,MONITORING WELL - AMBIENT MONITORING,670,19
60000296,3947920.53,5754269.62,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,19
60000676,4078691.53,5789826.01,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,19
30002997,3982229.53,5776259.24,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
30003225,3860683.03,5812739.3,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
30007069,3963304.24,5763056.23,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
30009787,3872734.49,5809281.6,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000293,3901189.67,5728416.28,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000462,3892222.76,5722998.62,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
60000703,3834543.82,5743019.9,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,20
30010182,3931336.32,5765931.91,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,21
40001715,3835204.01,5748057.49,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,22
60000461,3832791.66,5728543.32,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,22
60000669,4067592.16,5759228.3,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,22
30006603,3967839.18,5772835.11,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,24
